ObjectName X(m) Y(m) Z(m)
Drone 1 -4.5000 -7.5000 0.0000
Drone 2 -4.5000 -4.5000 0.0000
Drone 3 -4.5000 -1.5000 0.0000
Drone 4 -4.5000 1.5000 0.0000
Drone 5 -4.5000 4.5000 0.0000
Drone 6 -4.5000 7.5000 0.0000
Drone 7 -1.5000 -7.5000 0.0000
Drone 8 -1.5000 -4.5000 0.0000
Drone 9 -1.5000 -1.5000 0.0000
Drone 10 -1.5000 1.5000 0.0000
Drone 11 -1.5000 4.5000 0.0000
Drone 12 -1.5000 7.5000 0.0000
Drone 13 1.5000 -7.5000 0.0000
Drone 14 1.5000 -4.5000 0.0000
Drone 15 1.5000 -1.5000 0.0000
Drone 16 1.5000 1.5000 0.0000
Drone 17 1.5000 4.5000 0.0000
Drone 18 1.5000 7.5000 0.0000
Drone 19 4.5000 -7.5000 0.0000
Drone 20 4.5000 -4.5000 0.0000
Drone 21 4.5000 -1.5000 0.0000
Drone 22 4.5000 1.5000 0.0000
Drone 23 4.5000 4.5000 0.0000
Drone 24 4.5000 7.5000 0.0000
